index_pairs,description_pairs,cosine_similarity_score
"(27, 26)","('compound cargo pant reg ultim doeveryth pant built withstand daili abus cargo pocket model vintag armi block compound cargo perfect hit trail stash climb shoe multitool spare fin wax dri salami odd beer addit pocket includ two generous front dropin two rear hidden buttonflap closur made tough oz organ cotton ripstop tear strength standard oz materi theyr hardi lightweight readi action inseam size short regular long recycl common thread recycl program detail lightweight yet durabl organ cotton ripstop featur new fit block two generous wideentri dropin front pocket two sideseam cargo pocket hidden button flap two rear pocket hidden button flap inseam fabric oz organ cotton ripstop recycl common thread recycl program weight g oz made thailand', 'compound cargo pant long ultim doeveryth pant built withstand daili abus cargo pocket model vintag armi block compound cargo perfect hit trail stash climb shoe multitool spare fin wax dri salami odd beer addit pocket includ two generous front dropin two rear hidden buttonflap closur made tough oz organ cotton ripstop tear strength standard oz materi theyr hardi lightweight readi action inseam size short regular long recycl common thread recycl program detail lightweight yet durabl organ cotton ripstop featur new fit block two generous wideentri dropin front pocket two sideseam cargo pocket hidden button flap two rear pocket hidden button flap inseam fabric oz organ cotton ripstop recycl common thread recycl program weight g oz made thailand')",0.9902416931373224
"(62, 57)","('fli fish tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa', 'logo tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa')",0.9297230289778278
"(63, 57)","('gpiw classic tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa', 'logo tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa')",0.8822370992968604
"(63, 62)","('gpiw classic tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa', 'fli fish tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa')",0.8629754809141104
"(64, 62)","('live simpli guitar tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa', 'fli fish tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa')",0.8463520178245795
"(64, 63)","('live simpli guitar tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa', 'gpiw classic tshirt softwear ringspun organ cotton screenprint ink pvc phthalatefre detail rib neck stretch easi onoff screenprint size label back neck wont chafe tender skin fabric oz organ cotton recycl common thread recycl program weight g oz made usa')",0.8031242917694894
"(108, 107)","('reg fit organ ctn jeansreg organ cotton denim obsess detail make right jean occas rug yet soft oz organ cotton denim break right featur zip fli button closur pocketjean style avail two distinct wash three inseam length short regular long even though theyll look best five year wear well still take back recycl common thread recycl program detail oz durabl yet soft organ cotton denim buttonclosur zip fli pocket jean style inseam fabric oz organ cotton denim recycl common thread recycl program weight g oz made mexico', 'reg fit organ ctn jeanslong organ cotton denim obsess detail make right jean occas rug yet soft oz organ cotton denim break right featur zip fli button closur pocketjean style avail two distinct wash three inseam length short regular long even though theyll look best five year wear well still take back recycl common thread recycl program detail oz durabl yet soft organ cotton denim buttonclosur zip fli pocket jean style inseam fabric oz organ cotton denim recycl common thread recycl program weight g oz made mexico')",0.9527638916256354
"(113, 112)","('riverwalk stud high water slick bedrock cobbl like greas bowl ball riverwalk built reput demand wade condit great flexibl fast dri time light weight notch flex zone allow natur foot movement polypropylen insoleshank provid stabil dont let comfort fool tough boot serious wade detail synthet leather highfiltr polyest mesh recycl upper maximum support protect lace mold eva midsol rockstopp insoleshank stabil grip protect stonebruis extra comfort thank pad insol ankl support extra durabl high abrasionresist toe bumper stout reinforc toebox heel counter three resol choic felt sewn tungstencarbid stud sticki rubber size accommod neopren stockingfoot wader detail quickdri synthet leather comfort lightweight wade shoe highfiltr mesh keep sand silt drain quick compress mold eva midsol polypropylen insoleshank combin provid rigid support protect stone bruis pad insol provid arch support wide last accommod neopren foot wader insul sock pad ankl support cover protect lace loop speed lace hook top notch sculpt flex zone high abras resist toe bumper stout reinforc toebox heel counter sole design hold fin strap pad insol comfort arch support sewnon felt sole stud tungstencarbid tip embed dual rubber layer prevent wobbl outsol resol fabric highfiltr allrecycl polyest mesh synthet leather upper nylonspandex neopren tongu polypropylen insol board fulllength mold eva midsol weight g oz made china', 'riverwalk felt high water slick bedrock cobbl like greas bowl ball riverwalk built reput demand wade condit great flexibl fast dri time light weight notch flex zone allow natur foot movement polypropylen insoleshank provid stabil dont let comfort fool tough boot serious wade detail synthet leather highfiltr polyest mesh recycl upper maximum support protect lace mold eva midsol rockstopp insoleshank stabil grip protect stonebruis extra comfort thank pad insol ankl support extra durabl high abrasionresist toe bumper stout reinforc toebox heel counter three resol choic felt sewn tungstencarbid stud sticki rubber size accommod neopren stockingfoot wader detail quickdri synthet leather comfort lightweight wade shoe highfiltr mesh keep sand silt drain quick compress mold eva midsol polypropylen insoleshank combin provid rigid support protect stone bruis pad insol comfort arch support wide last accommod neopren foot wader insul sock pad ankl support cover protect lace loop speed lace hook top notch sculpt flex zone high abras resist toe bumper stout reinforc toebox heel counter sole design hold fin strap longwear sewnon polyest felt sole outsol resol fabric highfiltr allrecycl polyest mesh synthet leather upper nylonspandex neopren tongu polypropylen insol board fulllength mold eva midsol weight g oz made china')",0.9584760231525996
"(118, 117)","('shop pant short home truck insid shop pant made garmentwash oz organ cotton canva that toolresist yet break easili shape waist jeansstyl pocket steel rivet doublefabr knee reinforc mud flap cuff inseam size regular short long recycl common thread recycl program detail made oz yearround weight organ cotton canva tough yet skinfriend feel waistband slight lower front fit mobil zip fli button closur pocket jean style patch pocket back doublefabr knee straight leg inseam length fabric oz organ cotton canva recycl common thread recycl program weight g oz made thailand', 'shop pant reg home truck insid shop pant made garmentwash oz organ cotton canva that toolresist yet break easili shape waist jeansstyl pocket steel rivet doublefabr knee reinforc mud flap cuff inseam size regular short long recycl common thread recycl program detail made oz yearround weight organ cotton canva tough yet skinfriend feel waistband slight lower front fit mobil zip fli button closur pocket jean style patch pocket back doublefabr knee straight leg inseam length fabric oz organ cotton canva recycl common thread recycl program weight g oz made thailand')",0.98529469870175
"(153, 152)","('watermast wader short blackberri barbwir basaltth fact ask lot wader import keep us dri sort abus new version watermast wader accomplish number front first proprietari waterproofbreath polyest microfib fabric packag hno hydrostorm barrier quantit punctur resist competit wet wet whether come insid use lighter breathabl fabric top tougher version final overlook innov intern suspens system make easier ever uhreliev without take jacket vest someth consid drive rainstorm add incred dri durabl lightweight pair wader word watermast field repair kit includ detail polyest microfib shell proprietari waterproofbreath hno hydrostorm barrier delug dwr durabl water repel finish insid zipper main pocket piggyback mesh pocket intern keytool loop flip quick access uniqu waistmount suspend allow easi convers chest waist height tpu post slot design front back suspend offer secur wade deep roll waist high comfort anatom curv knee modifi yjoint crotch insid leg seam posit away wear zone specif design left right leg booti builtin heavyweight reinforc fabric gravel guard abras resist scuff zone gripper elast gravel guard cuff conceal stainless steel lock boot hook secur cuff boot avoid line catch stretch wade belt quickreleas duraflex stealthv buckl provid smooth function easi adjust fit field repair kit includ fabric upper layer oz polyest microfib twill shell proprietari waterproof breathabl hno hydrostorm barrier delug dwr durabl water repel finish lower torso leg layer oz polyest microfib reinforc fabric proprietari hno hydrostorm barrier delug dwr finish gravel guard oz polyest microfib delug dwr finish booti mm neopren abrasionresist fabric sole weight g oz made china', 'watermast wader long blackberri barbwir basaltth fact ask lot wader import keep us dri sort abus new version watermast wader accomplish number front first proprietari waterproofbreath polyest microfib fabric packag hno hydrostorm barrier quantit punctur resist competit wet wet whether come insid use lighter breathabl fabric top tougher version final overlook innov intern suspens system make easier ever uhreliev without take jacket vest someth consid drive rainstorm add incred dri durabl lightweight pair wader word watermast field repair kit includ detail polyest microfib shell proprietari waterproofbreath hno hydrostorm barrier delug dwr durabl water repel finish insid zipper main pocket piggyback mesh pocket intern keytool loop flip quick access uniqu waistmount suspend allow easi convers chest waist height tpu post slot design front back suspend offer secur wade deep roll waist high comfort anatom curv knee modifi yjoint crotch insid leg seam posit away wear zone specif design left right leg booti builtin heavyweight reinforc fabric gravel guard abras resist scuff zone gripper elast gravel guard cuff conceal stainless steel lock boot hook secur cuff boot avoid line catch stretch wade belt quickreleas duraflex stealthv buckl provid smooth function easi adjust fit field repair kit includ fabric upper layer oz polyest microfib twill shell proprietari waterproof breathabl hno hydrostorm barrier delug dwr durabl water repel finish lower torso leg layer oz polyest microfib reinforc fabric proprietari hno hydrostorm barrier delug dwr finish gravel guard oz polyest microfib delug dwr finish booti mm neopren abrasionresist fabric sole weight g oz made china')",0.9969646898121975
